College Name,Latitude,Longitude
VVS PU College,13.004285,77.550385
Sir boys Pu college,12.30902,76.643234
Govt High School Gurugunta,16.287249,76.628273
SRM Degree & PG Colleges,18.44219,79.089142
Sri Sai Degree College,16.6686,78.495598
Shri Ratan Pvt ITI,23.030481,74.576004
"Vikarabad	17.336430	77.904846",17.33643,77.904846
Vaish College of Law,28.885715,76.577003
Mother Theresa Institute of Science and Technology,17.186069,80.827423
Mother Teresa Pharmacy College,17.437342,78.701363
Asansol Engineering College,23.715609,86.951584
Azmet College of Engineering and Technology,26.164164,87.96814
St. Joseph Degree & PG College,17.918524,79.444832
Khandelwal College of Architecture & Design,28.436647,79.485809
AASAN Academy,22.210951,86.896141
Mithibai College,19.102837,72.837273
Dayananda Sagar College of Engineering,12.909477,77.566833
Prizm Institute,19.064671,72.883804
Drill Hall Library,51.39835,0.539733
Eyesafe Technologies,13.069666,77.786789
Vivekananda College of Technology and Management,27.883827,78.028656
MEGHA Classes Dhanpuri,23.186037,81.553932
SCRV ITE,9.321053,76.62352
Moreh College,24.256483,94.291245
FIT Engineering College,29.014225,77.759933
Ashokrao Mane Group Of Institutions,16.84503,74.298721
Jasoda Devi Teachers Training College,26.767958,75.838593
College of Teacher Education,26.441786,92.036835
Murti Devi Memorial College,28.952917,77.369675
ICS Computers Tally Institute of Learning,30.443266,77.607979
Rajsudha Institute of Technical Education,28.907732,77.5774
Sri Thiyageraja B.Ed College,10.801891,79.60141
Sri Parasnath Institute of Education and Technology,28.921412,78.837173
The Pacific International Public School,26.181484,78.124733
Brilliant Career Academy & Emitra,28.096256,75.842621
AISECT University city office,24.7195,80.189011
Arman Computer and Choice Center,21.453362,82.06881
Ramrati Verma Nanhku Verma Mahavidyalay,26.31048,82.115761
D.I.E.T. Roorkee,29.8745,77.869621
CRS Academy,25.271582,82.54158
Institute of Computer Management,21.051888,75.781891
Khalilabad,26.764177,83.076775
Lal Chand Mal College Of Education,30.114763,76.740738
SSHC Jain Institute Of Management & Research,23.838804,78.737808
SIDDHAKALA Institute of Information Technology,19.294333,72.867882
IICE Technical College,27.614258,75.145195
